scenario_id,scenario_index,ego_model,scene_type,estimated_vehicles,estimated_pedestrians,reference_trajectory_points,trajectory_length_m,speed_limit_kmh,suggested_triggered_speed_kmh,risk_radius_m,hazard_types,ego_actions
RTB001,1,vehicle.citroen.c3,高速场景,3,0,83,169.68,100.0,80.0,10.0,traffic_signs_markings/speed_control_facilities,Keeping
RTB002,2,vehicle.citroen.c3,高速场景,3,0,28,158.172,100.0,80.0,10.0,traffic_signs_markings/speed_control_facilities/adverse_weather,Keeping
RTB003,3,vehicle.citroen.c3,高速场景,3,0,45,194.992,100.0,80.0,10.0,traffic_signs_markings/speed_control_facilities/adverse_weather,Keeping
RTB004,4,vehicle.audi.tt,高速场景,2,1,69,209.927,100.0,40.0,10.0,traffic_signs_markings/speed_control_facilities,Keeping
RTB005,5,vehicle.chevrolet.impala,高速场景,2,0,100,207.408,100.0,25.0,10.0,traffic_signs_markings/speed_control_facilities/clearance_intrusion/adverse_weather,Following
RTB006,6,vehicle.audi.tt,郊区场景,4,0,75,232.017,60.0,30.0,10.0,traffic_signs_markings/road_intersection/limited_sight_distance,Yielding/Braking
RTB007,7,vehicle.jeep.wrangler_rubicon,郊区场景,5,0,60,289.578,70.0,30.0,10.0,traffic_signs_markings/road_intersection/limited_sight_distance,Yielding
RTB008,8,vehicle.citroen.c3,郊区场景,3,1,70,245.898,60.0,30.0,5.0,traffic_signs_markings/separation_protection/limited_sight_distance/adverse_weather,Overtaking/Yielding
RTB009,9,vehicle.mercedes.coupe_2020,高速场景,3,0,63,148.235,100.0,30.0,10.0,traffic_signs_markings/speed_control_facilities/road_intersection/clearance_intrusion/adverse_weather,Keeping
RTB010,10,vehicle.lincoln.mkz_2020,郊区场景,4,0,71,132.868,40.0,10.0,5.0,traffic_signs_markings/road_intersection/limited_sight_distance/clearance_intrusion,Overtaking/Crossing
RTB016,11,vehicle.audi.tt,郊区场景,5,0,49,276.706,60.0,60.0,20.0,traffic_signs_markings/road_intersection/clearance_intrusion,Crossing
RTB017,12,vehicle.audi.tt,城市场景,8,0,83,191.851,60.0,30.0,20.0,lighting_facilities/road_intersection/adverse_weather,Yielding/Crossing
RTB018,13,vehicle.audi.tt,城市场景,3,1,61,176.128,60.0,60.0,10.0,road_intersection/limited_sight_distance,Yielding/Crossing
RTB019,14,vehicle.chevrolet.impala,城市场景,2,0,22,181.989,60.0,30.0,5.0,road_intersection/limited_sight_distance/clearance_intrusion,Crossing/Keeping
RTB020,15,vehicle.lincoln.mkz_2020,郊区场景,2,0,29,191.279,60.0,20.0,10.0,traffic_signs_markings/road_intersection/limited_sight_distance/clearance_intrusion,Yielding/Crossing
RTB026,16,vehicle.chevrolet.impala,郊区场景,2,1,116,277.336,60.0,20.0,20.0,road_intersection/road_surface_condition/clearance_intrusion/adverse_weather,Overtaking/Yielding
RTB027,17,vehicle.audi.tt,郊区场景,2,0,73,194.444,60.0,20.0,10.0,road_intersection/road_surface_condition/adverse_weather,Keeping
RTB028,18,vehicle.citroen.c3,高速场景,2,0,158,539.273,80.0,20.0,20.0,road_surface_condition/road_alignment/limited_sight_distance/adverse_weather,Overtaking/Keeping
RTB029,19,vehicle.bmw.grandtourer,城市场景,3,1,26,211.341,60.0,30.0,5.0,road_intersection/limited_sight_distance,Overtaking/Crossing
